drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2015-10-22,3,4,18,19,25,0,377,11
2015-10-23,7,18,30,32,38,91807,572,16
2015-10-24,2,8,15,17,23,0,267,10
2015-10-25,15,23,24,31,40,0,554,17
2015-10-26,4,6,23,32,33,273401,491,16
2015-10-27,6,17,28,32,38,0,577,15
2015-10-28,3,9,33,39,40,0,504,15
2015-10-29,4,20,26,35,41,0,964,18
2015-10-30,13,14,19,20,30,0,476,14
2015-10-31,6,10,18,25,40,667374,415,13
2015-11-01,5,17,24,35,40,0,679,17
2015-11-02,8,20,24,28,31,0,457,13
2015-11-03,6,10,16,23,34,0,473,14
2015-11-04,8,15,27,36,38,0,562,15
2015-11-05,5,11,17,18,20,0,359,11
2015-11-06,3,4,31,36,40,0,633,16
2015-11-07,3,25,26,29,32,665096,580,15
